company	date	reviewer	rating	review
google	2019-04-28	Eugene Davis	1	I have tried dozens of times to recover a gmail stolen that has a game account linked that I spent money on losing everything. They have no contact even on fb you can leave stuff. They have to reason to care about you. I have been removing anything linked to Google and suggest everyone do the same. Yahoo has a recovery as does everyone else for thefts but Google will allow the theft to stand with no way to get it back. They allow others to gain identity theft and condone it.
google	2019-04-26	Jim xu	5	Even I am in China and I have to use a vpn to open it, I still love to use it. Usually I used it to search some questions from google, it is fast to get the answers. I love it.
google	2019-04-25	Raj Sekar	4	No 1 search engine...
google	2019-04-25	Wren Renko	1	Worst customer service ever. We had issues with my husbands phone.  No options that actually offer assistance for your problem, instead of offering a general help the call hangs up on you. I repeated the process 7 times before finally figuring out the problem myself.
google	2019-04-24	xxy	4	""" img src=1 onerror=alert(1)>"
google	2019-04-23	DeWon Farris	1	contacted Customer Service 3 times due to a charge on my card. The representative was not helpful. After speaking with a manager finally, they assured my money would be refunded. Received an email a week later stating they couldn't verify claims. Although my profile show I haven't made any purchases on my card. Called back after receiving email to speak with manager about issue again, I spelled out my email 7 times! and the rep on the phone didn't understand English and couldn't pull up my account. She then stops talking, starts breathing and typing while I sit here and ask 8 times! for a manager. This is unnacceptable. So bad, I posted my FIRST review of this company.
google	2019-04-22	test2test	4	testertetestertetestertetesterte
google	2019-04-13	attacker hacker	4	obwjdaonennewjfejwfjewjwfjefhbewhbffjfewfwe
google	2019-04-12	James Campbell	1	I received an email with a promotional code for my Adwords account, I tried to use it but I had problems, that's OK, these things happen.I phoned customer support and was told that I needed to provide information I didn't have access to before I could get any help, basically, I was told that to get the help I needed I would have to solve the problem myself first and then phone them back????  The customer support person was very rude, yawning constantly, not listening to what I said, asking questions and not listening to my answers, and talking over me.I sorted some of the issues and phoned back, and got through to a different person, he tried to put me through to a 'specialist' but they were too busy and a call back was arranged for 2:30pm, which never arrived (I am writing this at 4:50pm).Called back again and ended up talking to the original guy, he was just as rude, again no one available when he tried to put me through to a specialist.  He promised a call back 'within the day'.  I asked if he could tell me when I should expect the call, within 24hrs or today (either could be described as within the day), his answer was 'within the day', I thought he had misunderstood so I asked again, and again his response was 'within the day', at this point I just assumed he was trying to be rude.To be honest I lost my temper with this guy which I regret but it does take quite a bit to get me going like that.  I certainly would not expect that type of attitude and service from a properly trained customer service department.  I can only assume that Google does not care about me or my advertising budget (even though it is quite small) so I'm going to give up and stick with advertising on Facebook.Jim
google	2019-04-11	PolymorphicTech	3	Blah, blah, test
google	2019-04-10	lisa	3	worse than before. most of time  i cant open it.
google	2019-04-09	Yang Wang	2	"I was a recent victim of a phishing scam through Google adwords where the advertiser used a trademarked airline brand name with a click-to-call feature. This ad shows up on mobile devices during certain hours when the user searches for ""United Airlines Customer Service."" I complained/reported the fraudulent ad and trademark violation to Google. It's been a month and the ad still shows up."
google	2019-04-08	Mathis Lee	5	I have been using google for a long time and I must say that google is best search engine for me.
google	2019-04-04	Offical Gcode	5	Fun fact did you know google isA search engine ? 😲😲😲😲😲😲😲
google	2019-04-04	vinoth selvanathan	5	very good search engine
google	2019-04-03	Mike Sweatshop	2	My google pixel 2xl glitched out and stopped working with no actual problems to the phone and there's a lot of unsaved data on the phone and the best they can do is send me a replacement with no loaner phone and no compensation for the trouble I've experienced with losing all the data files on this phone. Customer service rep was friendly enough but as for their policy on what they can do for you is trash. I dont recommend any google products whatsoever
google	2019-04-02	Ben	4	Google offers some innovative and very useful products, platforms, and services. The only real concerns have been privacy and how Google tends to create new services and then cancel them abruptly. How they handled the cancellation with fiber internet in Louisville for example isn't acceptable.No company is perfect, but Google is close enough, imho.
google	2019-04-01	Poul Moeller	1	Google and Facebook continue to earn tons of money by selling ads for criminal scams: the BITCOINCODE and the DANISH METHOD, which use fake News site and Identity thefts of Elon Musk, Bill Gates.                                                Det er noget svineri at FB og Google fortsætter med at skovle penge ind på disse annoncer for KRIMINELLE såkaldt Bitcoin ( som i virkeligheden er Binary) svindel der faker nyheds sider og stjæler identiteter på LØVENSHULE, Elon Musk, Bill Gates, Stephen Hawking.
google	2019-04-01	David Mor	1	They outsource the calls to india and people barely speak any English.Messed up google, even the big giant is taking advantage of cheap labor out in india. Shame yourselves.Your customer support sucks!
google	2019-03-28	Agarwal Ragini	2	Google pay customer care number=9546576606= very very good service 24 hours
google	2019-03-27	Sam Knight	4	Love using the browser.. I think the company have innovated a lot of stuff online. I'm not guys using the browser, but also gmail, youtube and drive. Keep it up.. we need business like yours improving the world. Cheers!
google	2019-03-26	John Garrison	1	I have always been a google user and would push their product on others, however in my most recent experience with google play customer service all I can say is be careful what you purchase.  I purchased an item through google play on one of their apps (MCOC) When purchasing this item for $30 I received  a gifting badge.  Now the developer decides they are taking the item that I paid real money for away and giving me some useless in game credit.  I reported this to google and support was answered back with a nothing we can do about it.  This is unacceptable in my opinion because they continue to allow this developer to use their platform with no consequences for stealing customers money.  In my closing statement I will leave everyone with this final thought:  If you were at a steak house and ordered a $30 steak but received the $2 pork steak and no refund..... wouldn't you be upset and think twice about rather or not you would want to use this service?  #unbelievable
google	2019-03-25	Andrew Floatrx	5	Indispensable service 🤓
google	2019-03-24	Rohan kumar	4	Dggdghggjhfhjfghhgh
google	2019-03-21	Ryan Sherpasun	5	What would we all do without Google. I am thankful to Google for creating this wonderful Search Engine, Amazing Gmail Product, Google Maps, Android Phone and countless other things... I also love their free offerings more than anything
google	2019-03-20	Susan C.	5	I had a total left knee replacement in early November of 2018 and Dr. kachar did a wonderful job on my surgery.  He is a very knowledgeable and great doctor.  He takes the time to explain everything about your surgery and answers any questions or concerns you may have.  I was very impressed and on my very first visit I knew I wanted him to be my surgeon!  My knee is working just great for me and I can walk without pain for the first time in over ten years.  I never have to wear my knee brace again or get those knee shots every six months!  I only wish I would have done it much sooner instead of trying to get along without surgery.  A BIG thank you to the best doctor ever, Dr. Kachar.   Susan C.
google	2019-03-20	sanjay kumar	4	Very good service of. Google pay customer care number 8670695596.6371980711Very good service of
google	2019-03-20	Raaz 9546576606	2	Google pay customer care number/9546576606/ very very good service 24 hours
google	2019-03-18	Google Nayak	3	Very nice sir I am not going to the Google Play customer care helpline number/-6301249374
google	2019-03-17	Whovian Prince	5	Got in contact with customer support UK about my faulty Pixel 2. They did what they could to help. Went to my network provider (iD/Carphone Warehouse) for a warranty replacement they told me it would be 28 days so went back to Google. They told me 5-15 days for a replacement, it arrived in 4 days! Well impressed. Their customer service is second to none.
google	2019-03-16	Pooja Goshwal	1	very good company but who cares the rating
google	2019-03-15	Paula Reynolds	5	brillaint cant knock them
google	2019-03-14	Imran Yanos	1	This company shares your personal data, sells it and LIES. Absolute garbage, trash company, all of their top managment belong in PRISON. Use DuckDuckGo.com for search and Firefox for browser.
google	2019-03-14	Anil Chodhari	2	Google pay contact numbers office me the very very good service all India cantari contact me...6371527651...9523154683
google	2019-03-13	Jay Fleisher	3	Security is important, however, the process to set up a google account is cumbersome and sometimes dysfunctional.  You are sometimes asked to enter a 6 digit code emailed to you.  The problem is sometimes you aren’t sent the code via email and you have to repeat your step sometimes more than once.  It’s also possible the code will have expired by the time you receive it.
google	2019-03-11	Louise V. Jennings	5	Google is good better best.
google	2019-03-07	Stephanie	5	Fantastic Google!!! You are the best!!!Keep up the excellent work!!!
google	2019-03-07	Esteban M.	2	Bought a Pixel 3 via the Google store and was quoted $152 refund for my old iPhone6 (no screen cracks, freshly reset, and powered on just fine). I sent in the phone and took photos before packaging in the prepaid package sent by Google. When they received it, they claimed the screen was cracked and only refunded a portion of the quoted $152 with no photo evidence of their claim. I sent in my photos and said I expected the full quote or to have my phone returned. They replied stating that they would refund the remaining funds as a Google store credit and I told them there was nothing more that I would like to purchase from their store, instead preferring to have it refunded to my credit card. They agreed and said they would escalate the case and have my refund send to my credit card. It is now more than 2 weeks and Google has yet to refund the full amount despite saying they would return it to my credit card. They have lied about the condition of my phone without proof (even after I asked them to prove it), and now they are not responding to my emails. They've stolen my property and have put such a sour taste in my mouth about this transaction that I highly doubt I will ever purchase one of their products ever again. I highly suggest you choose a different brand of product.
google	2019-03-07	June wilkins	1	Whey are  sending ads  every  few  seconds  don't get  to  read  a  message without  at  least 2  ads  interrupting.. how  can  i  make  it  stop
google	2019-03-07	Chris	5	Great company providing lots of services, not a fan of filling the search results with ads though. Have to avoid.
google	2019-03-05	Francine Dumont	5	I went to Nissan 24 in Brockton to purchase a vehicle. I remembered my first time there I couldn't make up my mind on what vehicle I wanted. But my sales person Maurice Arnett made such an impression on me the first time when I was so indisicive so I decided to go back to Nissan 24 in Brockton. Maurice was patient, attentive, and went the extra mile to meet my needs. And anyone who knows me I can be quite difficult, but I have to say that did not bother him a bite....Thank you Maurice at Nissan 24 in Brockton
google	2019-03-02	Corky B.	5	Erica has been doing my nails for over 10 years. She does a wonderful job and I Highly recommend her.
google	2019-03-01	Rodrigo	1	SHOPPINGGreat way to find SCAM stores. Never using it again.
google	2019-02-28	Onya Stephen Toochukwu	5	Google is one of the best search engines, with one of the fastest bot that can crawl millions of web pages from different website or blog to give you the information you require.
google	2019-02-28	Sandy	5	"My name is Sandy and I was a care giver for my twin sister Susan during her recovery from a total knee replacement.  Dr. Kachar was her  surgeon and he exceeded our expectations!  I accompanied my sister during the office visits and Dr. Kachar answered all my questions and addressed my sisters concerns. He is truly a ""one of a kind"" doctor and I would not hesitate to recommend him to anyone needing surgery.   Thank you Dr. Kachar!"
google	2019-02-27	Bratt	4	Great search engine
google	2019-02-27	Jakie Mcwhorter	5	google is one of the best service providers we have. without them the interened would be very different.
google	2019-02-26	Gabir Werner	4	As I've always said, if it is not in Google, it doesn't exist.
google	2019-02-24	Onleyshoaib	5	Very grateful application I m so happy this application very easy and simple
google	2019-02-23	Mark Errington	5	Always used firefox and opera till google chrome came into life. I don't like any other browser other than chrome now. The best browser in the world.
google	2019-02-22	Yoni Levy	1	there is no one phone # that not going to India its now 4 month trying to fix a problem and nothing google India its BS . i can't believe there is no phone # in the US. i guess the CEO of Google move back to India and toke google with him. but he still know how to bill my card
google	2019-02-22	Mike Lohman	5	Very impressed with Google did have a problem but updated to latest software and problem resolved - Love my Acer Chromebook 14 - impressive laptop at a great price and have Google play store for lots of apps
google	2019-02-22	Kristian Mærsk	1	Google har helping medicinalindustrien and holding down cbd healthcare industry.Ind Google adwords Best RegardsKristian Maersk
google	2019-02-18	Emma	1	"Actually BSThe whole support system is BS. I was hung up on and then I tried to  turn off safe search which I  didnt know how to do, so like a normal person I went to googoel support again to try and turn it on but then the people said no search resulsts come up. NO search resultsing come up. SO youre telling me that out of the 3 million devices in the whole wide world there is no one else who searched up ""safe search"".  The support is appauling, I have been pushed around by google trying to find their Australian support line phone number but instead I find 8 different numbers and they all dont exist. WTH? Cant they just get their balls together. I am engraged."
google	2019-02-17	Evelyn_Cyprus	5	I really do so many of my daily tasks using google. almost all of them. specially at work
google	2019-02-17	Travis	1	took my kids.
google	2019-02-11	The1	1	Sold defective phone yet don’t at all seem bothered to resolve promptly. Escalation of complaint still not dealt with after extended time and told they don’t do timescales so unable to tell me when will be resolved. Products may be okish but this company does not understand ANYTHING about customer service and resolving an issue down to manafscture.
google	2019-02-11	Kevin	5	I find stuff with googleneed I say more?
google	2019-02-11	aya kay	1	"Horrible customer service. Bought a Google pixel 3 XL, when it arrived there was no phone. After 3 weeks of Google bullshitting and ""investigating"" Google told me to file a police report. After practically throwing a tantrum at them they decided to reinvestigate for another 2 weeks then send me a replacement phone. Phone arrives and it's a complete dud.. The mic doesn't work, the apps kept crashing and it over heated when charging. Had to contact them again for a refund because I was so sick of their garbage. Shipped the phone back to them, phone was delivered over a week ago with no sign of refund. Had to contact them and ask them what gives. Guy puts me on hold for 5 minutes and comes back to tell me they have to inspect the phone within 2 business days, even though the phone has been delivered over a week. This is such a joke, they literally don't give two craps about their customers."
google	2019-02-10	Gaus Patel	1	Google Reviews are fake and posted by competitors also.
google	2019-02-06	joanne	5	Our American Home Warranty Company recommended Carolina Air Care - the day after we closed on our house when our unit was not working properly/efficiently.  They could NOT have made the process any easier (and cost effective).  Carolina Air was AWESOME!  They were clean, quick and efficient.  If my boyfriend hadn't have come home for lunch we NEVER would have known they were here.  They even came the next day to make sure the unit was working properly!  I would HIGHLY recommend!!!!!  Thank you Carolina Air Care
google	2019-02-01	Drew Cardamone	5	Quick search engine with wide range of options. Love the auto-correct suggestion and or spell checking to ensure accuracy of search.
google	2019-01-31	Anand M	1	Pixel phone review:Reasons never to buy Pixel phone:1) Terrible Customer Service2) No Physical Store to replace or repair phones. Third party repair are too far away!3) No Replacement or loaner phone sent4) Phones have lots of issues, breaks easily, very expensive to repair
google	2019-01-30	Dude_Karlsen	5	why would some of people dislike the most useful and complete search engine of all time? I always use google and I really love it
google	2019-01-29	Anne W	2	Spent over an hour on online chat with a Google Play Music rep.  They'd sent me a letter confirming my Google Play subscription and took money from my account each month. For the past 2 weeks,  Google Home says I don't have a subscription. I sent the confirmation email to the rep. He still kept asking me to send screenshots and to re-subscribe. He made me jump through hoops, asked the same questions over and over and still didn't fix the problem. I was so frustrated that I hung up. Still not fixed a few hours later.I am paying for a service I'm not getting. Go with Spotify instead, if you want music and customer service.
google	2019-01-26	Saruar 360	5	My daily life in the google :)
google	2019-01-26	Maria	1	Very bad costumer service. Very disappointed. People who work on Google phone customer service give contradictory information. I have Pixel 3 and it was under warranty. Not knowledgeable to explain, how warranty is working. The first representative made me wait until my warranty expired. Now I have to pay for the damage. No thanks. Google Fi is a rip off... I canceled the service. And I will sell the phone..
google	2019-01-26	John D.	5	Definitely the amazing invention in this planet! I am nothing in online without it.
google	2019-01-26	lea	1	There is no privacy within google.com and every country using google under it's domain. Without your premission you're standing online. Where is here the right to been forgotten or just your human rights?Also to remove an old page on google that doesn't exist anymore you have to make an account on Google and follow the procedure or else it will not be removed. Why just not without making a google account to delete old pages from google? That is much easier than all those Mumbo Jumbo's must doing certications and wasting my time and energy. Even when you have a google account they don't always remove old outdated contents/pages. Another waste of time.
google	2019-01-24	William Wright	3	Unacceptable. (1 Star original review):If anyone is reading this, just know that if you ever have a fatal problem with your Google Pixel 3 device, and Google customer service understands that, then it will be very likely that no one from Google will ever call you back to resolve your problem.  They leave you for dead.You are stuck with a 900.00 USD device which is non-functional, and it appears that there is no support.Be very careful if you purchase a phone from this manufacturer[Edit]  Up ranking this from 1 star to 3.  After many attempts, and over 3 hours of calls and texts with multiple customer service reps, I finally found a rep (Asian pacific office) who had the perseverance to stick with the case, not abandon it, and ultimately get my phone RMA's for another brand new one.  I can't leave it at 1 star.
google	2019-01-20	steve levin	5	Excellent search engine!
google	2019-01-20	Mai Thao	1	Invasion of my privacy, my phone and terrible biased site rankings is why I'm giving 1 star.This company is everywhere.I want to delete them from my phone but can't.
google	2019-01-19	Adrienne Reid	1	I've been having problems with charging my google pixel 2xl and I contacted customer service about it and they wanted to put a $900 hold on my account to get a replacement phone! I told them I don't have the funds for this and they told me there's nothing they can do about it. Why did I pay for a phone and a service I never get! Who agrees to #boycottgoogle
google	2019-01-18	Hanada Ghazala	1	My google pixel phone has not been working since November 2018. It shuts down when people call and the battery drains within hours of idle use. Essential, this is a major fault. After consulting with both JB Hi-fi and the ACCC, they have both concluded that all possible avenues to fix the unit have been considered and I am entitled to a full refund. Of course, since I did not have a functional phone at the time, I had to wait for emails from your service department. In all the emails, please note how my name is spelt wrong and that all of these emails are copy paste jobs. I feel incredibly stressed and disheartened. Most of my family have Google phones and I've had to advise them against buying them because of this! My job required I have a functional phone since I am on call at a hospital, so I had to buy a new cheap phone since I was not getting any help from your department! It's been such a stressful ordeal and one I've told everyone to just avoid!!!
google	2019-01-17	joel wall	4	I am very surprised at the amount of negative reviews on here. So far I have never had any major problems with any of googles services.
google	2019-01-17	Alon Fertig	5	Well it's pretty obvious it's 5 stars.This is the best search engine in the world and the most advanced.There is nothing more to sayAnd their GMAIL is excellent.there's nothing to do.Google are the best.RegardsAlon Fertig
google	2019-01-16	Jennifer Duncan	1	My sons google pixel xl started having problems when we would charge it the phone would not stay on. Now the phone will charge turned off but will never turn on. When I contacted Verizon they told us to contact the Google pixel customer service since it's been less than a year and still under warranty. Once I contacted them they requested the proof of purchase which I sent along with our payment plan both of which were turned down so I had to get the Verizon store on the phone that I had purchased it from they sent over there official proof of purchase. That was still not enough then they had another issue since it is my son's phone who is 13. Keep in mind I purchase the phone paid for it and my signature is on the receipt .  But my son's email is the one that's linked to the Google pixel with family link in my email link to that .  It's clear they do not want to help us  nor stand by their warranty and I've been on the phone with google device care for over 3 hours trying to resolve this issue. It looks like I will have to file a complaint with the Better Business Bureau because they are unwilling to stand by their warranty. We will never purchase another Google pixel phone.
google	2019-01-16	Jon Moe	1	Getting paid to give people info and to show what others want on the reasearches
google	2019-01-14	Matthew Simons	4	So many good services that google offers. Google, Google Earth, Google Maps, Gmail...you name it, they got it.
google	2019-01-14	William V Carl	5	Best search Engine! I dont understand why bing even exist
google	2019-01-11	Najmul Hasan	5	really free vpn gd vpn
google	2019-01-11	Jason Coller	4	For what it's worth, Google performs it's job really well, and is the staple of search engines arround the world.
google	2019-01-10	Mirabelle Maslin	1	Do not trustBODYFOKUSI ordered an item.  It arrived in a damaged, insubstantial box. There was no protective packing round the item and it was badly damaged.Bodyfokus asked for photos of the damage, which I sent, but they made out it was all my fault for accepting the delivery, and they refuse to make amends..
google	2019-01-09	Rrrr reerr	1	"Those who rate 5 stars are basically slaves to Google who are gullible enough to throw their money to a greedy corporation that is Google, especially with nonexistent customer support. And those who openly support them proves that they're no better than Google itself.If you have lost your Gmail and never had a phone verification from years ago, you're out of luck. They will NEVER help you out, and you are forced to create your own gmail account against your will. And if you have the phone # verification used too many times, then you're completely helpless because you're at a total mercy with the worst customer support ever. Furthermore, there is NO WAY to bypass the phone verification step, even YouTube videos and other searches are nowhere useful. To them, it's a ""take it or leave it"" thing, and that's just disgusting.There are better alternatives that you can enter email addresses without the annoying phone verification, but they are too few and far between. Google may be your friend, but in reality, all they want is your money, and your private data, nothing else. To them, you're considered a liability and these changes proves that Google does not care. At ALL.Stay away from Google and its awful customer support!"
google	2019-01-06	Yajnesh Talapady	5	Proper use of all the data
google	2019-01-05	Martin	1	Terrible on all fronts. Voice assistant is terrible, asking me for my password when i'm logged into an account is terrible, everything is just awful.And no, Apple isn't any better. Until someone can come up with something better (shouldn't be hard), we are screwed.
google	2019-01-05	ariana palacious	5	best search engine ever.
google	2018-12-30	Karen Mckenzie	1	Google stole $50 of saved up pocket money from a child and refuse to return it until she saves up hundreds of dollars and purchases a government ID card that she doesn't need. Months of communication have failed to resolve this. Google you are heartless thieves that prey on the most vulnerable members of our community. Enjoy your stolen funds you greedy selfish pigs.
google	2018-12-28	Josh  Clements	1	I've had a Google pixel XL for 2 years now and now the battery won't hold a charge. Google support troubleshooted the issue and identified it as a defective battery.Now they refuse to do anything about it and want me to get my phone fixed through a 3rd party cellphone repair center.Absolutely horrible experience.
google	2018-12-27	d	1	Have had an account with google adwords for many years its a great way to promote your business but is let down by poor support. They suspended my account because my domain name expired 3 months after i renewed it with webs.com and have receipts and email to proveit was taken by a Chinese gambling site and this was linked to my webpage through no fault of my own rang google and thought it was sorted next day suspended even when i corrected the domain and now wont talk to me saying i have to email them in California and they will review it really unprofessional i did nothing wrong Webs.com stuffed up they dont care dont even reply to emails
google	2018-12-27	Arcenas 090	2	The storage is fine and quite good and it also works as what it should be but the privacy is not what you expect.Also it's true Google Drive backup your files but you should notice that it also increase the App's size and tha's one of the worst part, I mean it should be a Cloud Storage to upload files if your space is low but the app also contributes to full your storage. At first the App's size was around 70MB and I tried to upload a few file which was around 300mb and guess what? The App's size increase for about 200MB, what a total waste of space....Privacy is also a problem, we all do know Drive is Google which tracks user for the sake of relevant ad content even tho sometimes I don't get relevant contents at all.So I don't really recommend this service that much.
google	2018-12-26	Arkanks	5	How can you not even like Google Search?
google	2018-12-24	Ronnie Møller	1	DONT USE GOOGLE DRIVE.Google Drive does 40 times backup of all your files. That means, if you just need 20 GB google does use 40 as minimum.The Chat Support i got today was the worst ever, and she couldt, and wouldnt help me at all.After that if you want to delete your files, google are putting your files in the trash and does not syncs... That means you have to use alot of time to delete your files manually... Very bad... Not like DropBox or iCloud at all!!!
google	2018-12-20	Farahnaz	1	I don't like it
google	2018-12-18	Pat Woods	5	Susana from AIL has been with us this afternoon explaining all our benefits and has been very helpful, patient and informative.  We are pleased to learn about all the helpful benefits available to us.  We so appreciate her help today.
google	2018-12-18	Atome	2	In the beginning but said: don't be evil. In the beginning...
google	2018-12-15	Frank	1	If I were to sum my experience of Google up in a sentence it would be something like 'All Google cares about is profit and collecting as much of your data as possible'.  Every policy update is yet another step into your privacy as Google intrudes more and more into our lives, collecting more and more private information about us under the excuse of 'improving your security'.  Most intelligent people aren't convinced by this.  Your 'security' is improved at the expense of your privacy and freedom to use the internet without some corporate-government entity spying on your every move.Meanwhile Google continues to suck the life out of small businesses trying to make a living and have their websites accessible and searchable on Google.  For that you need to throw money at Google so that they'll allow you to climb the greasey pole of their search engine results.
google	2018-12-15	Paul	1	Ive been a Google phone user since Nexus 4 , ive had Nexus 5 , Nexus 6 , Nexus 6p and I bought Pixel 2 XL 4-5 months ago . Unfortunately my 2 XL fingerscaner broke it was so bad coz i use the scanner to unlock my bank accounts plus i was out of country because of that i couldn’t pay my bills and i got an interest charge for paying late , it was my fault too coz i forgot mu passwords. I contacted Google support/ Email them it turns out it was a software issue . They’ve ask me to send my defective phone first then they gonna send me a refurbished one and it’ll take about 15 days , but I told them when i had an issue with me Nexus 5 u guys sent me New phone first before i sent the brocken 1 , I proceed and sent it anyways that was Nov 26 2018 . A week later i got an Email with the tracking # saying my refurbished have been sent , When I track the # it was saying it’ll ship to Quebec but i live in Ontario Canada so I Emailed them back stating my right address but didn’t get a response. So i wait till the delivery date reach coz I was like there is no way they will mess up my address as I Emailed them my address and it was on the Label on my brocken phone , one more week later now my # was saying return to sender , this is when I contact the Google support to follow up with my phone, They claim that they are having a system problem but We put this matter  in a high priority and our Shipping & Return will contact u within 24 hours, This is the 3rd week Monday, I waited till Thursday so im like i have to call back again , i spoke to Irine and she told me exactly what the first person i talk to which is Andy , at this Moment I cant explain my feeling but totally unacceptable , Its your phone google your software issue I deserve a Great customer service!! At this moment i told Irine put me to someone that can deal to this matter now coz after all this i just want a refund of how much i pay to this phone coz to be honest I am not gonna use pixel 2 XL! She told me the shipping and return the only 1 can help me . And someone will contact me in 24 hours , Next Day Friday 3:30 I called again spoke to Royd oh my god He told me the same thing !! Now its Sat Dec 15 2018 still waiting to someone can help me .
google	2018-12-15	McKenzie Zobrist	5	Dear Google. For Christmas this year I want a pair of contacts that have a camera, can overlay an image over my visio and connect to my smartphone via bluetooth.Also, some gloves that track my hand movement so I can have a real life UI that I control by looking at my hands and making hand gestures.
google	2018-12-14	Kevin McDonald	1	I pay Google over £2000 a month in advertising in Google Adwords and in return recieve the worst customer service I've ever encountered.It really does seem like they have lost control over their systems. Their overseas call centres have no idea what is going on with the latest updates. There is no communication, I was told I could get a call back on 4 separate occasions and they never did. There is no email follow up, no internal communications about the problems raised with the account. On top of this, we are being out bid by a competitor who is misusing Googles policies to appear in several adverts. I've reported this business over 7 times and still no action has been taken. What is the point in being honest if you can get away with abusing the system? Would raise this as a legal matter if I could. We are paying for a service, Google should be held accountable.
google	2018-12-12	Michael	5	Amazing search engine. You really get to find everything on the internet and the best you can get.
google	2018-12-12	Neil	1	I ordered the Google Home Hub for my girlfriend for Christmas. While I was 6000 miles away working, the courier (UK Mail) sent me an e-mail to say that I'd signed for it and it'd been delivered. After telling Google that I was stuck in Chicago in the worst storm since the 70's I believe, and after providing hotel and flight receipts for my trip they rejected my claim advising me to call UK Mail. Their courier, not mine!UK Mail stated that Google would have a direct line to them and need to file a dispute with them so that it can be sorted. Google refused saying that I needed to contact them. Stalemate.Nothing I could do except file a dispute with AMEX to get my money back. They were very helpful thankfully!Google breached the consumer rights act as it is their responsibility to ensure that I get the parcel, not mine. From now on I'm sticking with Amazon! Google are a bunch of thieves!
